sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1001002835-1018949,BOSSARD,HEX SOC HEAD CAP SCREW M12x25 1018949 ,1.030,255,255,95,MM,6177.375
1001002835-1019228,BOSSARD,HEX SOC HEAD CAP SCREW M16x35 1019228 ,1.030,255,255,95,MM,6177.375
1001002835-1019570,BOSSARD,HEX SOC HEAD CAP SCREW M24x50 1019570 ,1.030,255,255,95,MM,6177.375
1001002835-3186756,BOSSARD,HEX SOC HEAD CAP SCREW M3x5 3186756 ,1.030,255,255,95,MM,6177.375
1001002835-3186761,BOSSARD,HEX SOC HEAD CAP SCREW M3x8 3186761 ,1.030,255,255,95,MM,6177.375
1001002835-1019910,BOSSARD,HEX SOC HEAD CAP SCREW M8x25 1019910 ,1.030,255,255,95,MM,6177.375
1001002835-1415581,BOSSARD,HEX SOC HEAD CAP SCREW M5x10 1415581 ,1.030,255,255,95,MM,6177.375
1001002835-2041987,BOSSARD,HEX SOC BUTTON HEAD SCREW M3x10 2041987 ,1.030,255,255,95,MM,6177.375
1001002835-2042002,BOSSARD,HEX SOC BUTTON HEAD SCREW M3x16 2042002 ,1.030,255,255,95,MM,6177.375
1001002835-2042037,BOSSARD,HEX SOC BUTTON HEAD SCREW M4x8 2042037 ,1.030,255,255,95,MM,6177.375
1001002835-2042193,BOSSARD,HEX SOC BUTTON HEAD SCREW M6x16 2042193 ,1.030,255,255,95,MM,6177.375
1001002835-2042274,BOSSARD,HEX SOC BUTTON HEAD SCREW M8x20 2042274 ,1.030,255,255,95,MM,6177.375
1001002835-1199145,BOSSARD,HEX SOC HEAD CAP SCREW M5x12 1199145 ,1.030,255,255,95,MM,6177.375
1001002835-1163140,BOSSARD,HEX SOC BUTTON HEAD SCREW M4x8 1163140 ,1.030,255,255,95,MM,6177.375
1001002835-1163159,BOSSARD,HEX SOC BUTTON HEAD SCREW M4x10 1163159 ,1.030,255,255,95,MM,6177.375
1001002835-1163167,BOSSARD,HEX SOC BUTTON HEAD SCREW M4x12 1163167 ,1.030,255,255,95,MM,6177.375
1001002835-1163205,BOSSARD,HEX SOC BUTTON HEAD SCREW M5x12 1163205 ,1.030,255,255,95,MM,6177.375
1001002835-1994352,BOSSARD,HEX SOC HEAD LOCKING SCRW M5x12 1994352 ,1.030,255,255,95,MM,6177.375
1001002835-1994379,BOSSARD,HEX SOC HEAD LOCKING SCRW M5x20 1994379 ,1.030,255,255,95,MM,6177.375
